id,test_positive
209,-0.61591554
210,-0.67178047
211,0.054672897
212,-0.2546304
213,-0.38910258
214,0.03857571
215,-0.22696573
216,-0.4270137
217,0.10609841
218,-0.8777597
219,-0.6103026
220,0.024070382
221,0.037571132
222,-0.71314186
223,-0.2969272
224,-0.27709472
225,-0.6045245
226,-0.3901832
227,-0.93512833
228,-0.38095617
229,-0.21033782
230,-0.43923348
231,-0.29648197
232,-0.07319856
233,-0.3256868
234,-0.50889987
235,-0.2923559
236,-0.48545712
237,-0.044630945
238,-0.7196806
239,-0.97161555
240,-0.61868596
241,-1.0068021
242,0.047567546
243,-0.47844517
244,-0.81390095
245,-0.41900617
246,-0.6488407
247,0.06748533
248,-0.40289634
249,-0.610802
250,-0.6481577
251,-0.13386768
252,-0.54149115
253,-0.621525
254,-0.00452137
255,-0.010025501
256,-0.5149888
257,0.0012082458
258,-0.6813776
259,-0.6187897
260,-0.4020769
261,-0.46847898
262,-0.16862464
263,-0.44506395
264,-1.0516971
265,0.037091374
266,-0.22390574
267,-0.5089043
268,-0.24818656
269,-0.7262261
270,-0.1867978
271,0.021347702
272,-0.6384847
273,0.017194748
274,-0.55842364
275,-0.34173
276,0.02825582
277,-0.587194
278,-0.10918623
279,-0.8330142
280,-0.049364686
281,0.033629894
282,-0.19570345
283,0.047746003
284,-0.30245048
285,-0.14697045
286,-0.5761324
287,-0.053869486
288,-0.4512741
289,-0.3357476
290,-0.5113265
291,0.056571364
292,-0.056782126
293,-0.16849142
294,0.08900589
295,-0.7885705
296,-0.58735114
297,-0.3380292
298,-0.07849103
299,-0.96429455
300,-0.8451637
301,0.06302333
302,-0.42725515
303,-0.55312616
304,-0.45695287
305,-0.15954292
306,-0.80004257
307,-0.06780577
308,-0.123678684
309,-0.6507421
310,-0.3443454
311,-0.006264925
312,-0.7530838
313,0.021615744
314,-0.94431937
315,-0.20964187
316,-0.10866612
317,-0.60302895
318,0.027416766
319,-0.76095253
320,-0.6182577
321,-0.5215727
322,-0.87424636
323,-0.019636214
324,-0.85763925
325,-0.22184503
326,-0.29570183
327,-0.394758
328,-0.493051
329,-0.46317047
330,-0.63282144
331,-0.11612177
332,-0.10821831
333,-0.45806026
334,-0.39744824
335,-0.04651743
336,-0.81564105
337,-0.13028944
338,0.028500855
339,-0.28957433
340,-0.49348176
341,-0.39807826
342,-0.4892962
343,-0.82143974
344,-0.29881877
345,0.012001812
346,-0.31900853
347,-0.036598742
348,-0.49845105
349,-0.48474735
350,-0.35107
351,-0.75975585
352,-0.0022715926
353,-0.35008276
354,-0.10510093
355,-0.28589332
356,-0.16185099
357,-0.28124672
358,-0.7973469
359,-0.33926713
360,0.016850173
361,0.021381915
362,-0.31224877
363,0.023891032
364,-0.22667897
365,0.051472783
366,-0.7262189
367,0.08267015
368,-0.46924317
369,-0.1631015
370,-0.42472237
371,-0.76409674
372,-0.19993424
373,-0.42718226
374,0.06668407
375,-0.34894443
376,-0.7966899
377,0.11234945
378,-0.45758474
379,-0.25852853
380,-0.11448115
381,-0.59907484
382,-0.410537
383,-0.35355484
384,-0.2281639
385,-0.057649493
386,-0.42260075
387,-0.1765508
388,-0.38920677
389,0.03679633
390,-0.4011957
391,-0.6820082
392,-0.0016069412
393,-0.09562266
394,-0.078760326
395,0.027878582
396,0.0038756728
397,-0.35732308
398,-0.041348577
399,-0.211941
400,0.005682707
401,-0.20596093
402,-0.30178654
403,-0.5207429
404,-0.21942121
405,-0.33336246
406,-0.8130108
407,-0.33833522
408,-0.25468242
409,0.048637927
410,-0.32997078
411,-0.18004543
412,-0.34311467
413,-0.17077255
414,-0.44921935
415,-0.3626173
416,-0.24486601
417,-0.2362454
418,-0.48907626
419,-0.29914796
420,-0.762403
421,-0.44828165
422,-0.012511849
423,-0.10465747
424,-0.11945993
425,-0.027478397
426,-0.73647296
427,0.0815627
428,-0.27482635
429,-0.6302838
430,-0.45772904
431,-0.24120969
432,-0.34856606
433,-0.29058075
434,-0.63940865
435,-0.57647693
436,-0.7089305
437,-0.35735416
438,-0.0071179867
439,-0.5531194
440,-0.55222213
441,-0.24156725
442,-0.24991944
443,-0.0710572
444,-0.3421558
445,-0.5613614
446,-0.05833912
447,0.087349534
448,-0.16645151
449,-0.22729176
450,-0.2600098
451,-0.7104453
452,-0.47699887
453,-0.39406163
454,-0.13614398
455,-0.26314402
456,-0.4736486
457,-0.5646218
458,-0.2355141
459,-0.04381764
460,-0.2648784
461,-0.09747887
462,-0.60822356
463,-0.44229734
464,-0.5693034
465,-0.4564588
466,-0.07943982
467,-0.18318939
468,-0.23591775
469,-0.044884562
470,-0.47287744
471,-0.37686837
472,-0.65242153
473,-0.48100674
474,-0.18629289
475,-0.38935226
476,-0.019674778
477,-0.28626436
478,-0.49303728
479,-0.69001555
480,-0.1160171
481,0.029336452
482,-0.46661782
483,-0.32037616
484,-0.040290475
485,-0.049776196
486,-0.20481998
487,-0.57909524
488,-0.34186602
489,-0.018519282
490,-0.10218966
491,-0.37872577
492,-0.17763853
493,-0.4638213
494,-0.05673504
495,-0.23210531
496,-0.22696584
497,0.040097117
498,-0.20216995
499,-0.22292793
500,0.09717816
501,-0.3561662
502,-0.051570833
503,-0.043370128
504,-0.56003124
505,-0.5965528
506,-0.05150956
507,-0.3919438
508,-0.22851402
509,-0.12992471
510,-0.30013666
511,-0.012114644
512,-0.6805201
513,-0.3552646
514,-0.3901093
515,0.09795827
516,-0.22301936
517,-0.15499085
518,0.088006854
519,-0.07646626
520,-0.08418971
521,-0.26989818
522,-0.06289911
523,-0.13655573
524,-0.08466202
525,-0.14156735
526,-0.23932618
527,-0.09797901
528,-0.40967947
529,-0.012490153
530,-0.21977985
531,-0.30987984
532,-0.12899107
533,0.009121597
534,-0.4448055
535,-0.21128523
536,-0.21302307
537,-0.045044065
538,-0.18239373
539,-0.054865897
540,-0.67155564
541,-0.10573202
542,-0.07710862
543,-0.503965
544,0.030953944
545,-0.22955364
546,-0.09264934
547,-0.0642283
548,-0.4138283
549,-0.42123884
550,-0.37828064
551,0.030616403
552,-0.27509612
553,-0.36256742
554,-0.1265729
555,-0.19951466
556,-0.2578319
557,0.008679628
558,-0.19138023
559,-0.14737958
560,-0.14370859
561,-0.18389201
562,0.14122206
563,0.13096696
564,0.10864037
565,-0.41231287
566,-0.33509743
567,0.004514754
568,-0.435369
569,-0.089220345
570,-0.36638486
571,-0.3575055
572,-0.16107363
573,0.03322661
574,-0.05136746
575,-0.055193245
576,-0.020965159
577,-0.3806886
578,-0.42756987
579,-0.32994553
580,-0.36346573
581,-0.36679643
582,-0.37676597
583,-0.35539803
584,-0.3497291
585,-0.32308662
586,-0.009455979
587,-0.10774326
588,-0.62628
589,-0.3128639
590,0.05756265
591,0.03234625
592,-0.36335453
593,-0.19726455
594,-0.3860587
595,-0.21427727
596,-0.49244642
597,-0.03749138
598,-0.32798684
599,-0.56215626
600,0.028469086
601,-0.16990209
602,-0.31143528
603,-0.053764045
604,-0.22850108
605,-0.049242318
606,-0.30932093
607,-0.5842495
608,-0.037011027
609,-0.11472881
610,0.028905272
611,-0.26892114
612,0.01577884
613,-0.37403512
614,0.042497337
615,-0.016333878
616,-0.34647036
617,-0.02252227
618,-0.36280748
619,-0.031641126
620,0.024470389
621,-0.31394476
622,-0.07201332
623,-0.34318578
624,-0.33274013
625,-0.34293464
626,0.0075082183
627,-0.114720345
628,-0.27485377
629,-0.27540636
630,-0.14406729
631,0.0034539104
632,-0.30940235
633,-0.030227661
634,-0.30553186
635,-0.41091168
636,-0.021786273
637,-0.086955845
638,-0.22508079
639,-0.088763416
640,-0.35994762
641,-0.14184195
642,0.04192674
643,0.03714323
644,0.075309575
645,0.09481323
646,0.16500533
647,-0.7244307
648,-0.3022269
649,0.049707234
650,-0.3113309
651,0.03484541
652,-0.29692495
653,-0.30741453
654,-0.13832557
655,-0.11872268
656,-0.14584368
657,-1.0554322
658,-0.27055866
659,0.01424098
660,-0.42465472
661,0.115980744
662,-1.0192639
663,-0.15662551
664,-0.14366251
665,-0.30959868
666,-0.35039783
667,-0.45948184
668,-0.12513196
669,-0.50842047
670,0.054569542
671,-0.4167307
672,-0.3129775
673,-0.05337131
674,-0.57367074
675,0.038894713
676,-0.13276243
677,-0.14906514
678,-0.42326164
679,-0.35774875
680,-0.15752512
681,-0.49192476
682,-0.08872616
683,-0.12259287
684,-0.38134885
685,-0.21817583
686,-0.025515974
687,-0.17939854
688,0.017248988
689,-0.31257302
690,-0.19872475
691,-0.32503438
692,-0.2698391
693,-0.4386304
694,-0.6007096
695,-0.026217222
696,-0.33601308
697,-0.28117383
698,-0.36767596
699,-0.3819365
700,-0.14828223
701,-0.40223885
702,-0.56074256
703,-0.35895917
704,-0.5022351
705,-0.20313054
706,-0.44462192
707,-0.49131525
708,-0.47405052
709,-0.15109915
710,-0.27483177
711,-0.500012
712,-0.4357034
713,-0.60092235
714,-0.15901202
715,-0.021950305
716,-0.58193326
717,-0.30482358
718,-0.24368733
719,-0.5446023
720,-0.3847736
721,-0.30266848
722,-0.0030937195
723,-0.16191709
724,-0.35718536
725,-0.16168344
726,-0.11236596
727,-0.81465304
728,-0.64274836
729,-0.5070914
730,-0.25912678
731,-0.63792676
732,-0.22478127
733,-0.23010886
734,-0.27366722
735,-0.9355171
736,-0.16657847
737,-0.01614523
738,-0.527109
739,-0.17029697
740,-0.059724092
741,-0.27493292
742,-0.19349623
743,-0.68882215
744,-0.3539108
745,-0.98423874
746,-0.47653985
747,-0.5798664
748,-0.24423754
749,-0.060889542
750,-0.37562382
751,-0.22669476
752,-0.21071002
753,0.037169993
754,0.13357013
755,-0.5998088
756,-0.28142262
757,-0.4613276
758,-0.3660394
759,-0.38477457
760,-0.15858537
761,0.018410504
762,-0.5293938
763,-0.3283326
764,-0.033423424
765,0.09451163
766,-0.13776493
767,-1.041478
768,-0.29134804
769,0.14073312
770,-0.39717066
771,-0.26415074
772,-0.6173788
773,-0.1466021
774,-0.09730977
775,-0.49492288
776,0.011210203
777,-0.12260574
778,0.03246516
779,-0.4970442
780,-0.19614673
781,0.020764709
782,-0.07959145
783,0.0060572624
784,-0.43797296
785,-0.7449031
786,-0.08320552
787,-0.13168961
788,0.06071222
789,-0.1499005
790,-0.26132977
791,-0.16152346
792,-0.6960146
793,-0.07188004
794,-0.5779088
795,-0.41801834
796,-0.7406231
797,-0.63312864
798,-0.77518106
799,0.03478366
800,-0.34227586
801,-0.33842313
802,0.18909669
803,0.1918155
804,-0.31664705
805,-0.689636
806,-0.25940102
807,-1.3847858
808,-0.36139733
809,-0.24179095
810,-0.64343
811,-0.40021652
812,-0.23724705
813,-0.18797329
814,-0.49726158
815,-1.2553728
816,-0.14500886
817,-0.4672091
818,-0.36723602
819,-0.106143236
820,-1.3503134
821,-0.015102744
822,-0.78465444
823,-0.24542016
824,-0.10066563
825,-0.6419028
826,-0.046633124
827,-0.006682694
828,0.021546066
829,-0.97174287
830,-0.4178897
831,-0.25650737
832,-1.1059563
833,-0.2704627
834,-0.13999033
835,-0.9845048
836,-0.19237775
837,-1.4795029
838,-0.39564538
839,0.08888352
840,-0.9043646
841,-0.7746731
842,-0.075552166
843,-0.58796525
844,-1.5167804
845,-1.0100629
846,-0.27699476
847,-0.114320576
848,0.0967688
849,0.030169189
850,-0.282732
851,-0.5533028
852,-0.3194087
853,-0.3876075
854,-0.5707882
855,-0.54919624
856,-0.4149859
857,-0.9181262
858,-0.55188626
859,-0.063711345
860,-0.5579333
861,-1.2074268
862,-0.29543734
863,-0.46368062
864,-0.96336603
865,-0.37880695
866,-0.16653872
867,-0.302908
868,-0.14779258
869,-0.31765103
870,-0.60010594
871,-1.1143848
872,-1.0317669
873,-0.5700074
874,-0.6385629
875,-0.6459459
876,-1.110098
877,-1.1776357
878,0.014317274
879,-1.1528496
880,-0.34396183
881,-0.3779425
882,-0.099502325
883,-0.4299004
884,-0.8836658
885,-0.7045086
886,-1.3695213
887,-0.30647713
888,-0.48964792
889,-0.15225762
890,-0.47669208
891,-0.27140886
892,-1.2206439
893,-0.16167867
894,-0.80442405
895,-0.09707117
896,-1.2093073
897,-0.77801967
898,-0.69240105
899,-0.96599495
900,-1.3454963
901,-0.63760644
902,-1.290855
903,-0.09804505
904,-0.68954587
905,-0.63970244
906,-0.89558446
907,-1.354515
908,-1.1953435
909,-0.14546156
910,-0.664951
911,-0.5934224
912,-0.7703954
913,-0.6944004
914,-1.3120953
915,-0.79559565
916,-0.22980624
917,-0.29326174
918,-1.4505249
919,-0.8547776
920,-0.27722496
921,-0.26491696
922,-0.8437434
923,-0.9192449
924,-0.19364548
925,-0.66487116
926,-0.38632476
927,-1.4125292
928,-0.9265864
929,-0.76038843
930,-0.5184486
931,-0.94248545
932,-0.784354
933,-1.4746617
934,-1.490276
935,-0.22866172
936,-0.4874465
937,-1.3760474
938,-0.46408284
939,-0.12909675
940,-0.70268726
941,-1.0137342
942,-1.5124441
943,-1.1809193
944,-0.31903154
945,-0.39632595
946,-1.434873
947,-0.8441352
948,-0.20252699
949,-0.061104715
950,-1.1638659
951,-1.0030172
952,-0.7860795
953,-0.14501446
954,-0.4124012
955,-0.94320714
956,-0.44717264
957,-1.3765589
958,-1.0996429
959,-0.647029
960,-0.60981214
961,-1.346031
962,-0.842624
963,-0.13709313
964,-1.0783528
965,-0.5743791
966,-0.60919815
967,-0.37093765
968,-0.78937614
969,-1.2630082
970,-0.69973606
971,-0.28963745
972,-0.5507899
973,-0.6255244
974,-0.4883101
975,-1.5667475
976,-0.61812824
977,-0.8088181
978,-1.2242541
979,-0.90833545
980,-0.09913212
981,-0.17749566
982,-1.2971358
983,-0.5510771
984,-0.94886935
985,-0.18602157
986,-0.59910893
987,-0.62478864
988,-1.4492972
989,-0.46994495
990,-1.2139074
991,-1.3340307
992,-0.8534777
993,-1.4709558
994,-0.6949209
995,-0.9324542
996,-0.7486571
997,-0.9253969
998,-0.49024177
999,-1.3731465
1000,-0.6190971
1001,-0.48947817
1002,-0.65804714
1003,-0.70084906
1004,-0.9747734
1005,-1.0706179
1006,-1.2052094
1007,-0.5886966
1008,-0.16370744
1009,-0.98932564
1010,-0.63285077
1011,-1.0518733
1012,-0.2226643
1013,-0.813582
1014,-1.261638
1015,-0.73349965
1016,-0.89359534
1017,-0.5114586
1018,-0.23119324
1019,-0.110590816
1020,-0.33372605
1021,-0.8942807
1022,-0.9073976
1023,-0.27302802
1024,-1.2848756
1025,-0.9918302
1026,-0.29102713
1027,-0.16493404
1028,-0.5266988
1029,-0.7768927
1030,-0.79528016
1031,-0.68577445
1032,-1.1179265
1033,-0.19923335
1034,-0.7462682
1035,-0.8464048
1036,-0.67817724
1037,-0.09035236
1038,-0.11720085
1039,-0.57280636
1040,-0.83684355
1041,-1.2032834
1042,-0.8853158
1043,-1.2137016
1044,-0.5061537
1045,-0.73344535
1046,-1.4189589
1047,-0.6582502
1048,-0.7885083
1049,-0.54886556
1050,-0.7975675
1051,-0.72485554
1052,-1.2198116
1053,-0.7627264
1054,-0.8372311
1055,-0.80195427
1056,-0.5716324
1057,-0.72544616
1058,-1.4819959
1059,-0.8868965
1060,-0.91866887
1061,-1.337247
1062,-0.85175896
1063,-0.89104736
1064,-0.62490773
1065,-1.2774206
1066,-0.94463015
1067,-0.71518564
1068,-1.2266341
1069,-1.3203651
1070,-0.8420336
1071,-0.79357433
1072,-1.1337246
1073,-0.9415926
1074,-0.947225
1075,-0.5089356
1076,-0.9751549
1077,-0.6209155
